63, path
 0, Textures/Spell_Speeder
 1, Textures/Spell_ArrowRain
 2, Textures/DiamondShape
 3, Textures/SquareShape
 4, Textures/EquipmentShape
 5, Textures/DiamondContour
 6, Textures/SquareContour
 7, Textures/EquipmentContour
 8, Textures/AttrPanelBackGround
 9, Textures/EquipmentBackground
10, Textures/Circle
11, Textures/IndicatorRectDecal
12, Textures/DamageIcon
13, Textures/DefenseIcon
14, Textures/agilityIcon
15, Textures/intelligenceIcon
16, Textures/MagicDamageIcon
17, Textures/MagicDefenseIcon
18, Textures/strengthIcon
19, Textures/universalIcon
20, Textures/moveSpeedIcon
21, Textures/attackSpeedIcon
22, Textures/Equipment/moveSpeed1.png
23, Textures/Equipment/moveSpeed2.png
24, Textures/Equipment/coolingAccelerate1.png
25, Textures/Equipment/coolingAccelerate2.png
26, Textures/Equipment/damage1.png
27, Textures/Equipment/universal1.png
28, Textures/Equipment/defense1.png
29, Textures/Equipment/attackSpeed1.png
30, Textures/Equipment/agility1.png
31, Textures/Equipment/intelligence1.png
32, Textures/Equipment/strength1.png
33, Textures/Spell/blackHole1.png
34, Textures/Spell/FallStone1.png
35, Textures/Spell/Shoot1.png
36, Textures/SpellActionModifier/CastTimes1.png
37, Textures/SpellActionModifier/CastTimes2.png
38, Textures/SpellActionModifier/CastTimes3.png
39, Textures/SpellActionModifier/CastTimes4.png
40, Textures/SpellActionModifier/Distance1.png
41, Textures/SpellActionModifier/Distance2.png
42, Textures/SpellActionModifier/Distance4.png
43, Textures/SpellActionModifier/Distance8.png
44, Textures/SpellActionModifier/FireDisfuse30.png
45, Textures/SpellActionModifier/FireDisfuse60.png
46, Textures/SpellActionModifier/FireDisfuse-30.png
47, Textures/SpellActionModifier/FireDisfuse-60.png
48, Textures/SpellActionModifier/FlyingNum1.png
49, Textures/SpellActionModifier/FlyingNum2.png
50, Textures/SpellActionModifier/FlyingNum3.png
51, Textures/SpellActionModifier/FlyingNum4.png
52, Textures/Increasing/Attack.png
53, Textures/Increasing/Defense.png
54, Textures/Increasing/Health.png
55, Textures/Increasing/Magic.png
56, Textures/Increasing/Move.png
57, Textures/AttrIcon/attackRangeIcon.png
58, Textures/AttrIcon/spellAccelerateIcon.png
59, Textures/AttrIcon/healthRegenIcon.png
60, Textures/AttrIcon/healthIcon.png
61, Textures/Increasing/base.png
62, Textures/Equipment/base.png
